,Timestamp,Tweet
47,2019-04-13 14:36:57,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
48,2019-04-13 14:36:55,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
49,2019-04-13 14:36:55,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
50,2019-04-13 14:36:54,When Thanos have killed Half of the universe By Single snap and Have 6 infinity Stones ..But Black Widow is plannin… https://t.co/3vew5JkJEF
51,2019-04-13 14:36:53,Taylor Swift will defeat Thanos #TaylorSwiftApril26
52,2019-04-13 14:36:52,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
53,2019-04-13 14:36:50,RT @9GAG: Ant-man after expanding in Thanos’ butt in #AvengersEndgame https://t.co/Pwd6RCW0Lw
54,2019-04-13 14:36:48,RT @fabuIoser: taylor swift will defeat thanos on the 26th
55,2019-04-13 14:36:47,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
56,2019-04-13 14:36:45,Captain Marvel @ Thanos when she comes to punt his giant purple rear into the void #AvengersEndgame https://t.co/QH2P3nOukt
57,2019-04-13 14:36:43,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
58,2019-04-13 14:36:43,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
59,2019-04-13 14:36:41,RT @naetoven1k: well we all know how infinity wars ended. &amp; im thanos https://t.co/sOgx5eFRKn
60,2019-04-13 14:36:38,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
61,2019-04-13 14:36:35,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
62,2019-04-13 14:36:35,"If YT claims that it does NOT delete views, then who did? 

Hell no. I think I know. 

Thanos?

Let's wait for Aven… https://t.co/G4RB4RvxUA"
63,2019-04-13 14:36:33,"RT @deanslafitte: antman: hey thanos spell ‘me’

thanos: m-e

antman: you forgot the ‘u’

thanos: there is no ‘u’ in me-

antman, shrinking…"
64,2019-04-13 14:36:28,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
65,2019-04-13 14:36:28,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
66,2019-04-13 14:36:26,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
67,2019-04-13 14:36:24,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
68,2019-04-13 14:36:22,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
69,2019-04-13 14:36:22,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
70,2019-04-13 14:36:20,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
71,2019-04-13 14:36:14,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
72,2019-04-13 14:36:12,RT @fabuIoser: taylor swift will defeat thanos on the 26th
73,2019-04-13 14:36:05,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
74,2019-04-13 14:36:05,RT @santosrochelle_: taylor swift will defeat thanos https://t.co/YdtnJ4QCIE
75,2019-04-13 14:36:03,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
76,2019-04-13 14:36:02,RT @woy: Never even crossed my mind that @taylorswift13 might be the one to destroy Thanos on 04.26.
